Symbol,Tick,Company
BHAGERIA,BGIN IS,BHAGERIA INDUSTRIES LTD
BHAGYANGR,BHIL IS,BHAGYANAGAR INDIA LTD
BHAGYAPROP,BHAGYA IS,BHAGYANAGAR PROPERTIES LTD
BBL,BIJL IS,BHARAT BIJLEE LTD
BDL,BDL IS,BHARAT DYNAMICS LTD
BEL,BHE IS,BHARAT ELECTRONICS LTD
BHARATFORG,BHFC IS,BHARAT FORGE LTD
BHARATGEAR,BG IS,BHARAT GEARS LTD
BHARATRAS,BRSN IS,BHARAT RASAYAN LTD
BRNL,BRNL IS,BHARAT ROAD NETWORK LTD
BHARATWIRE,BWRL IS,BHARAT WIRE ROPES LTD
BHARTIARTL,BHARTI IS,BHARTI AIRTEL LTD
INFRATEL,BHIN IS,BHARTI INFRATEL LTD
BIL,BHTI IS,BHARTIYA INTERNATIONAL LTD
BIGBLOC,BIGBLOC IS,BIGBLOC CONSTRUCTION LTD
BILENERGY,BESL IS,BIL ENERGY SYSTEMS LTD
BINANIIND,BZL IS,BINANI INDUSTRIES LTD
BIOCON,BIOS IS,BIOCON LTD
BIRLACABLE,BIRCB IS,BIRLA CABLE LTD
BSOFT,BSOFT IS,BIRLASOFT LTD
BKMINDST,BKMINDST IS,BKM INDUSTRIES LTD
BLBLIMITED,BLBL IS,BLB LTD
BLISSGVS,BLIS IS,BLISS GVS PHARMA LTD
BLUECOAST,BCOH IS,BLUE COAST HOTELS LTD
BLUEDART,BDE IS,BLUE DART EXPRESS LTD
BLUESTARCO,BLSTR IS,BLUE STAR LTD
BODALCHEM,BODL IS,BODAL CHEMICALS LTD
BRFL,BRFL IS,BOMBAY RAYON FASHIONS LTD
BOROSIL,BRSL IS,BOROSIL GLASS WORKS LTD
BOSCHLTD,BOS IS,BOSCH LTD
BPL,BPL IS,BPL LTD
BRIGADE,BRGD IS,BRIGADE ENTERPRISES LTD
BCG,BCG IS,BRIGHTCOM GROUP LTD
BRITANNIA,BRIT IS,BRITANNIA INDUSTRIES LTD
BROOKS,BKL IS,BROOKS LABORATORIES LTD
BSE,BSE IS,BSE LTD
BSL,BWSY IS,BSL LTD
BURNPUR,BPUR IS,BURNPUR CEMENT LTD
CANDC,CCON IS,C & C CONSTRUCTIONS LTD
CADILAHC,CDH IS,CADILA HEALTHCARE LTD
CAMLINFINE,CFIN IS,CAMLIN FINE SCIENCES LTD
CANFINHOME,CANF IS,CAN FIN HOMES LTD
CANBK,CBK IS,CANARA BANK
CANTABIL,CANT IS,CANTABIL RETAIL INDIA LTD
CAPACITE,CAPACITE IS,CAPACIT'E INFRAPROJECTS LTD
CAPTRUST,CPT IS,CAPITAL TRUST LTD
