Symbol,Tick,Company
GAYAHWS,GAYAHWS IN Equity,GAYATRI HIGHWAYS LTD
GAYAPROJ,GAYP IN Equity,GAYATRI PROJECTS LTD
GEPIL,GEPIL IN Equity,GE POWER INDIA LTD
GET&D,GETD IN Equity,GE T&D INDIA LTD
GEECEE,GCVL IN Equity,GEECEE VENTURES LTD
GHCL,GHCL IN Equity,GHCL LTD
GISOLUTION,GIEN IN Equity,GI ENGINEERING SOLUTIONS LTD
GICHSGFIN,GICHF IN Equity,GIC HOUSING FINANCE LTD
GILLETTE,GILL IN Equity,GILLETTE INDIA LTD
GINNIFILA,GINI IN Equity,GINNI FILAMENTS LTD
GKWLIMITED,GKW IN Equity,GKW LTD
GLENMARK,GNP IN Equity,GLENMARK PHARMACEUTICALS LTD
GLOBOFFS,GWOS IN Equity,GLOBAL OFFSHORE SERVICES LTD
GLOBALVECT,GVH IN Equity,GLOBAL VECTRA HELICORP LTD
GLOBUSSPR,GBSL IN Equity,GLOBUS SPIRITS LTD
GMBREW,GMBR IN Equity,GM BREWERIES LTD
GMMPFAUDLR,GMM IN Equity,GMM PFAUDLER LTD
GMRINFRA,GMRI IN Equity,GMR INFRASTRUCTURE LTD
GNA,GNA IN Equity,GNA AXLES LTD
GOACARBON,GOCA IN Equity,GOA CARBON LTD
GPIL,GODPI IN Equity,GODAWARI POWER AND ISPAT LTD
GODFRYPHLP,GP IN Equity,GODFREY PHILLIPS INDIA LTD
GODREJAGRO,GOAGRO IN Equity,GODREJ AGROVET LTD
GODREJCP,GCPL IN Equity,GODREJ CONSUMER PRODUCTS LTD
GODREJIND,GDSP IN Equity,GODREJ INDUSTRIES LTD
GODREJPROP,GPL IN Equity,GODREJ PROPERTIES LTD
GOKEX,GEXP IN Equity,GOKALDAS EXPORTS LTD
GOKULAGRO,GOKUL IN Equity,GOKUL AGRO RESOURCES LTD
GOLDENTOBC,GTO IN Equity,GOLDEN TOBACCO LTD
GOLDIAM,GLDM IN Equity,GOLDIAM INTERNATIONAL LTD
GOLDTECH,GSE IN Equity,GOLDSTONE TECHNOLOGIES LTD
GOODLUCK,GLIN IN Equity,GOODLUCK INDIA LTD
GULFPETRO,GPPE IN Equity,GP PETROLEUMS LTD
GRANULES,GRAN IN Equity,GRANULES INDIA LTD
GRAPHITE,GRIL IN Equity,GRAPHITE INDIA LTD
GRASIM,GRASIM IN Equity,GRASIM INDUSTRIES LTD
GRAVITA,GRAV IN Equity,GRAVITA INDIA LTD
GREAVESCOT,GRV IN Equity,GREAVES COTTON LTD
GREENLAM,GRLM IN Equity,GREENLAM INDUSTRIES LTD
GREENPLY,MTLM IN Equity,GREENPLY INDUSTRIES LTD
GRINDWELL,GWN IN Equity,GRINDWELL NORTON LTD
GRPLTD,GRP IN Equity,GRP LTD
GRUH,GRHF IN Equity,GRUH FINANCE LTD
GSS,GSSI IN Equity,GSS INFOTECH LTD
GTLINFRA,GTLI IN Equity,GTL INFRASTRUCTURE LTD
GTL,GTS IN Equity,GTL LTD
GTNIND,GTN IN Equity,GTN INDUSTRIES LTD
GTNTEX,GTNT IN Equity,GTN TEXTILES LTD
GTPL,GTPL IN Equity,GTPL HATHWAY LTD
GUFICBIO,CF IN Equity,GUFIC BIOSCIENCES LTD
GAEL,GAEX IN Equity,GUJARAT AMBUJA EXPORTS LTD
GUJFLUORO,GFLC IN Equity,GUJARAT FLUOROCHEMICALS LTD
GUJGASLTD,GUJGA IN Equity,GUJARAT GAS LTD
GLFL,GLF IN Equity,GUJARAT LEASE FINANCING LTD
GPPL,GPPV IN Equity,GUJARAT PIPAVAV PORT LTD
GSCLCEMENT,GSCL IN Equity,GUJARAT SIDHEE CEMENT LTD
GSPL,GUJS IN Equity,GUJARAT STATE PETRONET LTD
GULPOLY,GULP IN Equity,GULSHAN POLYOLS LTD
GAL,GYSC IN Equity,GYSCOAL ALLOYS LTD
HARITASEAT,HARS IN Equity,HARITA SEATING SYSTEMS LTD
HATSUN,HTSMF IN Equity,HATSUN AGRO PRODUCT LTD
HAVELLS,HAVL IN Equity,HAVELLS INDIA LTD
HBSL,HBSH IN Equity,HB STOCKHOLDINGS LTD
HBLPOWER,HBPS IN Equity,HBL POWER SYSTEMS LTD
